Year,Rank,Song,Artist,gender
1973-01-01,12,playground in my mind,clint holmes,
1973-01-01,13,brother louie,stories,
1973-01-01,14,delta dawn,helen reddy,female
1973-01-01,15,me and mrs jones,billy paul,male
1973-01-01,16,frankenstein,edgar winter group,
1973-01-01,17,drift away,dobie gray,male
1973-01-01,18,little willy,sweet,
1973-01-01,19,you are the sunshine of my life,stevie wonder,male
1973-01-01,20,halfbreed,cher,female
1973-01-01,21,that lady,the isley brothers,
1973-01-01,22,pillow talk,sylvia,female
1973-01-01,23,were an american band,grand funk railroad,
1973-01-01,24,right place wrong time,dr john,male
1973-01-01,25,wildflower,skylark,
1973-01-01,26,superstition,stevie wonder,male
1973-01-01,27,loves me like a rock,paul simon,male
1973-01-01,28,the morning after,maureen mcgovern,
1973-01-01,29,rocky mountain high,john denver,male
1973-01-01,30,stuck in the middle with you,stealers wheel,
1973-01-01,31,shambala,three dog night,
1973-01-01,32,love train,the ojays,
1973-01-01,33,im gonna love you just a little more baby,barry white,male
1973-01-01,34,say has anybody seen my sweet gypsy rose,tony orlando and dawn,
1973-01-01,35,keep on truckin,eddie kendricks,male
1973-01-01,36,dancing in the moonlight,king harvest,
1973-01-01,37,dannys song,anne murray,female
1973-01-01,38,monster mash,bobby boris pickett and the cryptkickers,
1973-01-01,39,natural high,bloodstone,
1973-01-01,40,diamond girl,seals and crofts,
1973-01-01,41,long train runnin,the doobie brothers,
1973-01-01,42,give me love give me peace on earth,george harrison,male
1973-01-01,43,if you want me to stay,sly  the family stone,
1973-01-01,44,daddys home,jermaine jackson,male
1973-01-01,45,neither one of us wants to be the first to say goodbye,gladys knight  the pips,
1973-01-01,46,im doin fine now,new york city,
1973-01-01,47,could it be im falling in love,the spinners,
1973-01-01,48,daniel,elton john,male
1973-01-01,49,midnight train to georgia,gladys knight  the pips,
1973-01-01,50,smoke on the water,deep purple,
1973-01-01,51,the cover of the rolling stone,dr hook  the medicine show,
1973-01-01,52,behind closed doors,charlie rich,male
1973-01-01,53,your mama dont dance,loggins and messina,
1973-01-01,54,feelin stronger every day,chicago,
1973-01-01,55,the cisco kid,war,
1973-01-01,56,live and let die,paul mccartney  wings,
1973-01-01,57,oh babe what would you say,hurricane smith,
1973-01-01,58,i believe in you you believe in me,johnnie taylor,male
1973-01-01,59,sing,the carpenters,
1973-01-01,60,aint no woman like the one ive got,the four tops,
1973-01-01,61,dueling banjos,eric weissberg  steve mandell,
1973-01-01,62,higher ground,stevie wonder,male
1973-01-01,63,here i am come and take me,al green,male
1973-01-01,64,my maria,bw stevenson,
1973-01-01,65,superfly,curtis mayfield,male
1973-01-01,66,get down,gilbert osullivan,male
1973-01-01,67,last song,edward bear,
1973-01-01,68,reelin in the years,steely dan,
1973-01-01,69,hocus pocus,focus,male
1973-01-01,70,yesterday once more,the carpenters,
1973-01-01,71,boogie woogie bugle boy,bette midler,female
1973-01-01,72,clair,gilbert osullivan,male
1973-01-01,73,do it again,steely dan,
1973-01-01,74,kodachrome,paul simon,male
1973-01-01,75,why cant we live together,timmy thomas,
1973-01-01,76,so very hard to go,tower of power,
1973-01-01,77,do you wanna dance,bette midler,female
1973-01-01,78,rockin pneumonia and the boogie woogie flu,johnny rivers,male
1973-01-01,79,ramblin man,the allman brothers band,
1973-01-01,80,masterpiece,the temptations,
1973-01-01,81,peaceful,helen reddy,female
1973-01-01,82,one of a kind love affair,the spinners,
1973-01-01,83,funny face,donna fargo,female
1973-01-01,84,funky worm,ohio players,
1973-01-01,85,angie,the rolling stones,
1973-01-01,86,jambalaya on the bayou,blue ridge rangers,
1973-01-01,87,dont expect me to be your friend,lobo,male
1973-01-01,87,dont expect me to be your friend,lobo,male
